track_name,track_artist,mood_label,valence,energy,danceability,tempo,loudness,similarity_score
売旬,QUEEN BEE;Ai Shinozaki,Happy / Energetic,1.5124076833668498,1.306550640741754,0.6261949603115142,0.2763875292984064,0.9649600180938814,0.9986967847787626
世界で一番 孤独なLover,Nogizaka46,Happy / Energetic,1.4308071717057236,1.2737827459518878,0.4606762492022121,0.2099231425877755,0.7472831896860785,0.9984755715898044
Sanctify (feat. Ilang),Kenn Colt,Happy / Energetic,1.073319215856981,0.8969519558684267,0.3122801633800786,0.1042539563427639,0.6373248292181523,0.9983624232214562
If You're Over Me - Sebastian Perez Remix,Years & Years,Happy / Energetic,0.9839472268947956,0.917431890112093,0.323695246904858,0.1101074507176888,0.6029119349235603,0.9983122071827045
Am Zuckerwattenstand (Recall),Nico Gemba,Happy / Energetic,1.5668080244742673,1.2205349169183553,0.5976572514995661,0.2784294459408221,0.9769739871079696,0.998142556387693
Wieder alles im Griff,Jürgen Drews;Giovanni Zarrella,Happy / Energetic,1.5590365471732075,1.3270305749854203,0.6775628361730219,0.2285045840337581,0.8971523624719934,0.997901465114729
No Money,Galantis,Happy / Energetic,1.2792633643350613,1.0894633377588907,0.5063365833013301,0.1410084559062463,0.845431207733376,0.9977857420210479
ゴールデンタイムラバー,Sukima Switch,Happy / Energetic,1.139376772915988,0.8764720216247603,0.3693555810039761,0.1098692271094068,0.6059663338254471,0.9977194022461844
Ich Bin Dein Co-Pilot 2010 - Radio Edit,Matthias Carras,Happy / Energetic,1.6212083655816845,1.249206824859488,0.6261949603115142,0.3450639923716541,0.8871746593924963,0.9974868821314393
Born Too Slow,The Crystal Method,Happy / Energetic,1.5590365471732075,1.2778787328006211,0.3750631227663658,0.2770341362351715,0.9604802330377806,0.9974673187512589
