song_index,track_name,track_artist,mood_label,valence,energy,danceability,tempo,loudness,similarity_score
100,Don't Call Me Up,Mabel,Angry / Intense,-0.931721927816401,0.946103798053226,0.5234592085884994,-0.7783985442854586,1.0818416827394182,1.0
616,Bleed,Haze & Mellow,Angry / Intense,-0.8112640296499768,0.8109362320450278,0.3636480392415863,-0.5767592758469093,0.7880085083779033,0.9962296007784157
40989,Affliction,ZABO,Angry / Intense,-1.0249796554291164,1.060791429817758,0.700393003222581,-0.7448430474617607,1.0987426899965254,0.996155741522548
35303,20 Four 7 Savage - Original Mix,DJ Fixx,Angry / Intense,-0.9705793143216992,1.1713830747335563,0.5291667503508891,-0.7435838655322713,1.1325447045107395,0.9959843220956098
68975,Playing With Fire - Original Mix,Dither;Deadly Guns,Angry / Intense,-1.320295792869382,1.35160649607782,0.5862421679747866,-0.913165042684894,1.2972786186191705,0.9955549247414848
65212,Highway,Re-Fuzz,Angry / Intense,-1.3358387474715012,1.36389445662402,0.6604402108858527,-0.9144582565584244,1.2549242871796726,0.9948805617300572
23853,Booty Loose (feat. Fly Boi Keno),Party Favor,Angry / Intense,-1.1065801670902424,1.0771753772126909,0.6718552944106322,-0.7430393544276269,1.0464106554775303,0.9945339498880976
66236,Fuckin' With The Best,Unresolved;Streiks & Kratchs,Angry / Intense,-1.2270380652566666,1.249206824859488,0.609072335024345,-0.7377644031013864,1.3732313379794234,0.994436431735375
50345,Paradise,Krewella;Asim Azhar,Angry / Intense,-0.7724066431446787,0.6266168238520308,0.392185748053535,-0.6412157778591643,0.6957656615409206,0.9933997793322397
25081,Summer Love,DEAMN,Angry / Intense,-0.686920392833023,0.8969519558684267,0.323695246904858,-0.5742068800438896,0.9539641820470888,0.9922805130641944
